uid,iid
0,184
0,67
0,171
0,66
0,122
0,113
0,83
0,84
0,233
0,53
0,217
0,230
0,20
0,241
0,99
0,135
0,197
0,150
0,192
0,151
0,167
0,6
0,91
0,29
0,21
0,63
0,74
0,234
0,225
0,80
0,130
0,194
0,213
0,38
0,247
0,149
0,157
0,237
0,70
0,103
0,244
0,191
0,115
0,56
0,140
0,180
0,9
0,203
0,153
0,161
0,48
0,158
0,185
0,72
0,132
0,126
0,92
0,196
0,119
0,68
0,137
0,97
1,255
1,249
2,260
2,248
3,265
3,263
3,264
3,278
3,310
3,302
3,283
3,261
3,307
3,281
3,308
3,191
3,262
3,286
4,315
4,119
5,339
5,355
5,344
5,322
5,352
5,342
5,353
5,318
5,323
5,347
6,361
6,374
6,375
6,357
6,362
6,147
7,384
7,399
7,400
7,380
7,385
7,125
8,478
8,413
8,421
8,471
8,476
8,456
8,448
8,404
8,444
8,333
8,468
8,417
8,425
8,441
8,422
8,449
8,465
8,119
8,477
8,461
8,291
9,558
9,590
9,733
9,761
9,190
9,16
9,506
9,484
9,625
9,566
9,614
9,594
9,608
9,633
9,705
9,734
9,688
9,516
9,584
9,664
9,600
9,510
9,408
9,202
9,693
9,493
9,659
9,458
9,727
9,183
9,658
9,650
9,589
9,679
9,717
9,669
9,647
9,527
9,480
9,512
9,568
9,559
9,529
9,760
9,757
9,330
9,765
9,685
9,581
9,643
9,596
9,597
9,613
9,709
9,537
9,455
9,332
9,509
9,526
9,640
9,741
9,583
9,595
9,603
9,762
9,768
9,561
9,502
9,586
9,626
9,712
9,607
9,495
9,604
9,518
9,578
9,572
9,538
9,642
9,565
9,770
10,781
10,794
10,789
10,772
10,799
10,792
10,800
10,171
10,773
10,797
11,804
11,809
11,416
12,858
12,795
12,604
12,691
12,825
12,864
12,849
12,830
12,516
12,860
12,828
12,862
12,855
12,428
12,571
12,833
13,868
13,865
13,870
13,284
14,42
14,920
14,939
14,893
14,965
14,770
14,883
14,957
14,924
14,963
14,917
14,910
14,416
14,906
14,411
14,929
14,879
14,887
14,903
14,884
14,911
14,926
14,91
14,946
14,964
14,922
14,408
14,951
15,1083
15,948
15,1070
15,940
15,1021
15,1012
15,982
15,983
15,1131
15,746
15,1115
15,1128
15,408
15,1139
15,998
15,1034
15,1096
15,1049
15,1091
15,1050
15,1066
15,189
15,990
15,501
15,437
15,865
15,973
15,1132
15,1123
15,979
15,1029
15,1093
15,1112
15,635
15,1145
15,1048
15,1056
15,1135
15,969
15,1002
15,1142
15,1090
15,1014
15,761
15,1039
15,1079
15,290
15,1102
15,1052
15,1060
15,726
15,1057
15,1084
15,971
15,1031
15,1025
15,991
15,1095
15,1018
15,967
15,1036
15,996
16,1148
16,1153
16,316
17,642
17,827
17,1165
17,1188
17,1170
17,513
17,1185
17,1168
17,1186
17,311
17,604
17,1173
18,943
18,1210
18,1209
18,1212
18,1204
18,157
18,1189
18,1214
19,1221
19,1227
19,882
19,1218
19,598
20,900
20,847
20,888
20,1234
20,1262
20,1239
20,651
20,1259
20,1237
20,1260
20,215
20,761
20,1242
21,939
21,1276
21,1278
21,1275
21,201
21,965
21,109
22,1285
22,948
22,1294
22,1296
22,1291
22,458
22,954
22,134
23,1306
23,1360
23,758
23,1139
23,1353
23,1337
23,1358
23,1330
23,1323
23,562
23,1319
23,556
23,1342
23,1046
23,1300
23,1316
23,1142
23,1324
23,1339
23,179
23,1359
23,1335
23,547
24,1366
24,700
26,415
26,442
26,1109
26,1396
26,1387
26,1368
26,361
26,1392
26,1266
26,1394
26,1393
26,189
26,371
26,1371
27,1404
27,708
28,1217
28,1417
28,1418
28,707
28,1405
28,123
29,782
29,809
29,1430
29,1454
29,1435
29,700
29,1451
29,1433
29,1452
29,466
29,707
29,1438
30,1455
30,948
30,1465
30,1467
30,1461
30,455
30,1078
30,195
31,386
31,1492
31,1520
31,1504
31,1509
31,941
31,1505
31,910
31,918
31,1478
31,1486
31,1502
31,1483
31,1510
31,354
31,1522
31,1521
31,900
32,1526
32,1378
32,1528
32,196
33,627
33,195
33,1580
33,1582
33,1592
33,1603
33,1550
33,1606
33,1545
33,649
33,1622
33,254
33,1572
33,939
33,646
33,1544
33,1555
33,1556
33,1615
33,1561
33,1611
33,1076
33,1620
33,1551
33,1584
33,1596
33,1537
33,342
33,1324
33,1553
33,1613
33,1607
33,1573
33,1600
33,1549
33,1618
33,1578
34,1647
34,1630
34,1650
34,1652
34,1645
34,1179
34,1631
34,746
35,1663
35,1392
35,1673
35,1675
35,1669
35,944
35,1655
35,415
36,1685
36,1687
36,1686
36,415
36,1192
36,42
37,1692
37,866
38,975
38,1516
38,142
39,1714
39,1697
39,1725
39,1719
39,1717
39,1723
39,1163
39,1698
39,1722
40,1743
40,1745
40,1744
40,1403
40,1730
40,211
41,1378
41,1116
41,1587
41,212
42,944
42,1754
42,243
43,1760
43,643
44,1771
44,1761
44,1141
44,1763
44,155
45,1779
45,707
46,1043
46,1020
46,1803
46,1794
46,1196
46,1200
46,1891
46,813
46,1876
46,1888
46,227
46,1899
46,1780
46,1816
46,1831
46,1832
46,1848
46,93
46,1443
46,458
46,326
46,1005
46,1115
46,1883
46,1168
46,1811
46,1875
46,630
46,1905
46,1830
46,1838
46,1895
46,1056
46,1784
46,1902
46,1872
46,1796
46,900
46,1821
46,1861
46,115
46,1884
46,1834
46,1842
46,730
46,1839
46,1866
46,1085
46,1813
46,1807
46,1488
46,1877
46,1800
46,1047
46,1818
46,1751
47,524
48,1910
48,1927
48,1915
48,795
48,1924
48,1913
48,1925
48,573
48,838
48,1918
49,1928
50,1936
50,913
51,1576
51,744
51,1938
51,36
52,1950
52,1947
52,1952
52,115
56,1973
56,1974
56,1082
56,1964
56,4
57,1833
57,1213
57,1978
57,178
58,4
58,954
58,1987
58,212
58,1994
58,1985
58,1995
58,129
58,236
58,1990
60,2061
60,2053
60,2022
60,44
60,2008
60,2027
60,1572
60,276
60,1015
60,1241
60,2064
60,2012
60,2046
60,2070
60,2005
60,1933
60,344
60,1867
60,298
60,2017
60,1190
60,1275
60,1861
60,1250
60,1934
60,2014
60,96
60,2035
60,2072
60,2062
60,2010
60,2040
61,1779
61,1402
61,2075
61,116
62,1386
62,2090
62,2091
62,989
62,1595
62,629
63,1520
63,2100
63,2101
63,294
63,1522
63,160
64,2256
64,2395
64,2402
64,2274
64,2345
64,2263
64,2282
64,2149
64,2221
64,2376
64,2348
64,124
64,25
64,2108
64,491
64,1861
64,2224
64,2212
64,2200
64,2259
64,114
64,2122
64,1463
64,2111
64,2105
64,2130
64,2321
64,2216
64,2237
64,2361
64,2185
64,521
64,1678
64,2161
64,2009
64,389
64,86
64,52
64,2190
64,2326
64,128
64,2222
64,2156
64,94
64,2279
64,2264
64,2350
64,39
64,2299
64,2155
64,2381
64,2333
64,2147
64,1840
64,2176
64,2214
64,2166
64,2144
64,801
64,100
64,2266
64,445
64,1475
64,1432
64,895
64,2283
64,2393
64,2252
64,2379
64,2390
64,62
64,2400
64,2298
64,2182
64,1633
64,2140
64,1954
64,1984
64,2110
64,2206
64,1183
64,91
64,63
64,388
64,2273
64,2386
64,798
64,2329
64,2137
64,2238
64,1676
64,1951
64,2053
64,2396
64,2269
64,2302
64,2403
64,1438
64,181
64,1761
64,2123
64,2209
64,2352
64,2104
64,139
64,2063
64,2384
64,526
64,1521
64,1488
64,1211
64,2139
64,1450
64,2267
64,2336
64,2296
65,1743
65,2431
65,2422
65,2175
65,2176
65,2471
65,1392
65,2461
65,2469
65,131
65,2477
65,2408
65,2444
65,58
65,2277
65,375
65,156
65,1663
65,1984
65,2466
65,2129
65,2439
65,806
65,2482
65,2458
65,2474
65,1843
65,2412
65,2424
65,1450
65,2449
65,89
65,2462
65,2470
65,1275
65,2467
65,1895
65,2441
65,2435
65,2280
65,2428
65,1779
65,2446
65,2370
66,2486
66,2291
66,2488
66,112
67,2522
67,65
67,2282
67,2526
67,2503
67,2508
67,183
67,2504
67,150
67,1034
67,1455
67,2501
67,1275
67,2509
67,2524
67,37
67,2528
67,2520
67,97
68,371
68,133
68,2530
68,47
69,2541
69,1743
70,1149
70,2542
70,249
71,892
71,2562
71,2588
71,2574
71,1948
71,2575
71,1663
71,1861
71,2548
71,2556
71,2572
71,2553
71,2580
71,1482
71,227
71,1488
72,2597
72,2422
73,2600
73,1019
73,2609
73,2611
73,2606
73,595
73,1031
73,248
74,2658
74,2636
74,262
74,2622
74,2641
74,1712
74,2676
74,1007
74,1162
74,2668
74,2626
74,2674
74,2619
74,2603
74,767
74,2268
74,664
74,2631
74,1059
74,1174
