uid,iid,rating
0,0,5
0,1,4
0,2,5
0,3,2
0,4,4
0,5,2
0,6,3
0,7,4
0,8,5
0,9,5
0,10,5
0,11,3
0,12,4
0,13,5
1,0,5
1,14,3
1,15,4
1,16,3
1,17,4
1,18,5
1,19,4
1,20,1
1,21,5
1,22,5
1,23,3
1,24,1
1,25,5
1,26,4
1,27,5
1,28,5
1,29,5
1,30,4
1,31,3
1,32,5
2,0,5
2,33,1
3,0,4
3,34,5
3,35,4
3,36,5
3,6,4
3,37,5
3,38,5
3,39,4
3,40,5
3,41,4
3,42,5
3,43,4
3,44,4
3,45,4
3,46,5
3,47,4
3,48,4
3,49,4
3,50,5
3,51,4
3,52,5
3,53,4
3,12,5
3,54,4
3,55,4
3,56,4
4,0,4
4,57,4
4,58,2
4,59,3
4,60,4
4,6,4
4,6,5
4,8,5
4,8,5
4,61,5
4,62,5
4,63,5
4,64,5
4,24,5
4,65,4
4,66,4
4,43,5
4,43,5
4,67,5
4,68,4
4,69,5
4,70,4
4,12,3
4,71,4
4,72,4
4,56,4
5,0,5
5,73,4
5,74,3
5,75,1
5,76,5
5,77,4
5,78,4
5,79,5
5,80,4
5,81,4
5,82,5
5,83,4
5,84,4
5,85,5
5,19,5
5,86,4
5,7,4
5,87,1
5,88,5
5,89,3
5,90,5
5,91,5
5,24,5
5,92,3
5,65,4
5,93,4
5,94,5
5,95,4
5,96,5
5,97,4
5,11,5
5,29,5
5,71,5
5,72,5
5,98,5
6,0,4
6,6,5
6,99,3
6,70,5
7,0,4
7,100,5
7,14,4
7,101,4
7,102,5
7,102,3
7,103,4
7,104,4
7,105,4
7,106,3
7,4,4
7,6,4
7,19,4
7,86,4
7,8,4
7,9,5
7,90,1
7,107,5
7,108,2
7,109,5
7,110,5
7,111,3
7,112,5
7,113,1
7,114,5
7,115,4
7,70,5
7,29,5
7,71,4
7,32,1
7,98,4
8,0,3
8,76,4
8,18,5
8,116,3
8,117,2
8,118,4
8,119,1
8,120,3
8,121,2
8,7,4
8,122,4
8,123,5
8,62,4
8,25,5
8,124,4
8,125,5
8,126,5
8,127,4
8,128,3
8,43,3
8,129,5
8,130,5
8,72,4
9,0,4
9,101,3
9,131,5
9,132,5
9,133,3
9,85,3
9,22,4
9,134,5
9,135,4
9,136,2
10,0,5
10,35,5
10,131,4
10,137,4
10,6,2
10,8,4
10,20,4
10,138,4
10,139,5
10,140,5
10,70,5
10,12,5
11,0,3
11,141,4
11,142,3
11,143,4
11,103,5
11,34,4
11,144,3
11,145,5
11,146,4
11,147,4
11,148,5
11,149,4
11,57,2
11,150,4
11,151,4
11,58,4
11,152,3
11,153,3
11,154,4
11,36,4
11,155,5
11,156,4
11,157,4
11,158,4
11,159,4
11,160,3
11,161,3
11,162,5
11,81,5
11,163,4
11,164,4
11,165,5
11,166,5
11,132,5
11,167,4
11,168,4
11,169,2
11,170,4
11,171,4
11,133,2
11,3,3
11,172,2
11,173,4
11,174,4
11,4,3
11,175,3
11,176,4
11,120,1
11,177,4
11,5,4
11,5,4
11,84,4
11,178,3
11,179,3
11,60,3
11,180,3
11,181,5
11,182,4
11,183,3
11,184,5
11,185,5
11,186,4
11,186,5
11,187,4
11,188,5
11,189,4
11,190,5
11,85,4
11,191,3
11,8,5
11,22,5
11,192,4
11,63,5
11,193,3
11,194,4
11,195,3
11,196,3
11,10,5
11,24,4
11,108,3
