uid,sid
34,59
34,97
34,195
34,354
34,396
34,865
34,956
34,1035
34,1106
34,1202
34,1225
34,1360
34,1373
34,1436
34,1560
34,2811
34,2824
34,3382
34,3524
34,3792
34,3862
34,4267
34,4500
34,4576
34,4653
34,5315
34,5379
34,5412
34,5562
34,7889
34,8012
34,8075
34,10823
34,12422
34,13819
34,15237
34,15770
38,1797
39,2395
56,1256
56,1829
56,1868
56,1905
56,2072
56,2312
56,2574
56,2617
56,3343
56,3344
56,3598
56,3891
56,4496
56,4626
56,4653
56,4854
56,4877
56,5493
56,6853
56,7114
56,7536
56,10342
56,11885
56,12257
56,12502
56,16457
57,354
57,956
57,1342
57,2769
57,3449
57,8645
57,13819
60,39
60,118
60,146
60,355
60,436
60,770
60,803
60,1019
60,1126
60,1144
60,1368
60,1437
60,1544
60,1654
60,1720
60,1750
60,1768
60,1826
60,1871
60,1905
60,2017
60,2108
60,2275
60,2286
60,2539
60,2563
60,2774
60,3032
60,3251
60,3303
60,3376
60,3449
60,3483
60,3495
60,3499
60,4445
60,4690
60,4855
60,4956
60,5227
60,5379
60,5821
60,6190
60,7014
60,7200
60,7269
60,7681
60,8645
60,10893
60,11603
60,12824
60,13203
60,13560
60,14312
60,14446
60,14474
60,16045
60,16457
60,16582
60,16808
60,17557
61,39
61,199
61,300
61,329
61,355
61,552
61,770
61,805
61,806
61,859
61,1018
61,1074
61,1202
61,1256
61,1259
61,1344
61,1450
61,1491
61,1597
61,1606
61,1626
61,1655
61,1710
61,1711
61,1714
61,1770
61,1780
61,1784
61,1794
61,1816
61,1818
61,1847
61,1869
61,1873
61,1901
61,1904
61,2022
61,2084
61,2286
61,2549
61,2553
61,2555
61,2560
61,2836
61,2845
61,2857
61,3032
61,3045
61,3267
61,3376
61,3449
61,3529
61,3976
61,4151
61,4498
61,4658
61,4803
61,4833
61,4866
61,5728
61,5732
61,6320
61,7014
61,7083
61,7200
61,7361
61,7439
61,8645
61,9280
61,12095
61,13005
61,13108
61,13169
61,13203
61,14225
61,17521
102,556
102,841
102,874
102,979
102,1014
102,1106
102,1165
102,1167
102,1248
102,1392
102,1421
102,1454
102,1468
102,1491
102,1844
102,1886
102,2196
102,2560
102,2695
102,3236
102,3347
102,3671
102,4197
102,4296
102,4805
102,4889
102,5045
102,5227
102,5320
102,5537
102,5692
102,5929
102,7084
102,7138
102,9854
102,11669
102,12219
102,12228
102,13913
102,14122
102,14703
102,14809
102,14861
102,15151
102,15422
102,15506
102,15626
102,15770
102,15849
102,16019
102,17321
103,7087
103,9953
105,34
105,39
105,57
105,856
105,874
105,1035
105,1256
105,1339
105,1344
105,1454
105,1521
105,1604
105,1821
105,1846
105,1859
105,2017
105,2108
105,2563
