uid,iid,rating
1,1,5
1,13,4
1,30,5
1,6011,2
1,6017,4
1,6027,2
1,6068,3
1,6081,4
1,6119,5
1,6141,5
1,6247,5
1,12086,3
1,13181,4
1,14416,5
2,1,5
2,23,3
2,33,4
2,50,3
2,62,4
2,2217,5
2,6074,4
2,6125,1
2,6147,5
2,6152,5
2,6365,3
2,6565,1
2,6728,5
2,7462,4
2,7492,5
2,8302,5
2,12516,5
2,14311,4
2,14323,3
2,14326,5
3,1,5
4,1,4
4,56,5
4,1175,4
4,2253,5
4,6068,4
4,6112,5
4,7392,5
4,7455,5
4,7521,4
4,7554,5
4,7584,4
4,7624,4
4,7632,4
4,8637,5
4,10111,4
4,11991,4
4,11994,5
4,12088,5
4,12134,4
4,13181,5
4,14398,4
4,14399,4
4,14428,4
5,1,4
5,2214,4
5,2238,2
5,6032,4
5,6068,4
5,6068,5
5,6119,5
5,6119,5
5,6120,5
5,6156,5
5,6159,5
5,6240,5
5,6565,5
5,7370,4
5,7378,4
5,7584,5
5,7584,5
5,11894,5
5,11915,4
5,12015,5
5,12105,4
5,13181,3
5,13199,4
5,14325,4
5,14428,4
6,1,5
6,20,4
6,21,3
6,34,1
6,37,5
6,2908,4
6,3165,4
6,4117,5
6,4131,4
6,4138,4
6,4172,5
6,5264,4
6,6028,4
6,6058,5
6,6074,5
6,6078,4
6,6081,4
6,6098,5
6,6099,3
6,6143,5
6,6363,5
6,6565,5
6,6702,3
6,7370,4
6,7460,4
6,7463,5
6,7504,4
6,11649,5
6,12041,4
6,12086,5
6,12516,5
6,13199,5
6,14325,5
6,14423,5
7,1,4
7,6068,5
7,11921,3
7,12105,5
8,1,4
8,16,5
8,23,4
8,43,4
8,48,5
8,48,3
8,53,4
8,65,4
8,82,4
8,5046,3
8,6017,4
8,6068,4
8,6074,4
8,6078,4
8,6119,4
8,6141,5
8,6143,1
8,6200,5
8,6655,2
8,7438,5
8,11918,5
8,11920,3
8,11926,5
8,11938,5
8,11968,4
8,12105,5
8,12516,5
8,13199,4
8,14326,1
8,14423,4
9,1,3
9,37,4
9,2217,5
9,2218,3
9,2233,2
9,2252,4
9,2487,1
9,6020,3
9,6081,4
9,6089,4
9,6145,5
9,6156,4
9,6728,5
9,6790,4
9,7482,5
9,7551,5
9,7555,4
9,7557,3
9,7584,3
9,8530,5
9,12033,5
9,14325,4
10,1,4
10,43,3
10,1177,5
10,5049,5
10,6006,3
10,6058,3
10,6152,4
10,7387,5
10,7442,4
10,7530,2
11,1,5
11,1175,5
11,1177,4
11,5016,4
11,6068,2
11,6119,4
11,6125,4
11,11976,5
11,12105,5
11,13181,5
12,1,3
12,4,4
12,29,3
12,41,4
12,53,5
12,56,4
12,58,3
12,59,5
12,676,4
12,777,4
12,782,5
12,2214,2
12,2225,4
12,2238,4
12,2249,3
12,2250,3
12,2251,4
12,2253,4
12,2254,5
12,2255,4
12,2375,4
12,4110,4
12,4114,3
12,4127,3
12,4137,5
12,4138,5
12,4160,4
12,4592,5
12,5038,5
12,5049,5
12,6006,2
12,6011,3
12,6015,4
12,6016,4
12,6017,3
12,6018,3
12,6019,4
12,6020,1
12,6021,4
12,6027,4
12,6027,4
12,6028,4
12,6031,3
12,6032,3
12,6034,5
12,6035,4
12,6037,5
12,6038,5
12,6040,4
12,6040,5
12,6042,5
12,6044,4
12,6047,5
12,6058,4
12,6101,3
12,6119,5
12,6152,5
12,6157,4
12,6159,5
12,6160,3
12,6161,4
12,6163,3
12,6247,5
12,6565,4
12,6655,3
12,6666,4
12,6702,4
12,7008,4
12,7370,3
12,7372,4
12,7372,4
12,7378,5
12,7408,3
12,7489,4
12,7567,4
12,7580,4
12,7582,4
12,7583,4
12,7584,5
12,7623,3
12,7816,4
12,8613,2
12,8662,2
12,10107,3
12,10313,3
12,11299,4
12,11649,5
12,11894,5
12,11895,4
12,11918,3
12,11920,5
12,11921,3
12,11925,4
