uid,sid
35,60
35,98
35,196
35,355
35,397
35,866
35,957
35,1036
35,1107
35,1203
35,1226
35,1361
35,1374
35,1437
35,1561
35,2812
35,2825
35,3383
35,3525
35,3793
35,3863
35,4268
35,4501
35,4577
35,4654
35,5413
35,5563
35,10824
35,15238
39,1798
57,1257
57,1830
57,1869
57,1906
57,2073
57,2313
57,2618
57,3344
57,3345
57,3599
57,3892
57,4497
57,4627
57,4654
57,4855
57,5494
57,6854
57,7115
57,7537
57,10343
57,11886
57,12258
58,355
58,957
58,1343
58,2770
58,3450
58,8646
61,40
61,119
61,147
61,356
61,437
61,771
61,804
61,1020
61,1127
61,1145
61,1369
61,1438
61,1545
61,1655
61,1721
61,1751
61,1769
61,1827
61,1872
61,1906
61,2018
61,2109
61,2276
61,2287
61,2540
61,2564
61,2775
61,3252
61,3304
61,3377
61,3450
61,3484
61,3496
61,3500
61,4446
61,4691
61,4856
61,4957
61,5228
61,5822
61,6191
61,7015
61,7270
61,7682
61,8646
61,10894
61,11604
61,14313
61,14447
61,16583
61,16809
62,40
62,200
62,301
62,330
62,356
62,553
62,771
62,806
62,807
62,860
62,1019
62,1075
62,1203
62,1257
62,1260
62,1345
62,1451
62,1492
62,1598
62,1607
62,1627
62,1656
62,1711
62,1712
62,1715
62,1771
62,1781
62,1785
62,1795
62,1817
62,1819
62,1848
62,1870
62,1874
62,1902
62,1905
62,2023
62,2085
62,2287
62,2550
62,2554
62,2556
62,2561
62,2837
62,2846
62,2858
62,3046
62,3268
62,3377
62,3450
62,3530
62,3977
62,4152
62,4499
62,4659
62,4804
62,4834
62,4867
62,5729
62,5733
62,6321
62,7015
62,7084
62,7440
62,8646
62,9281
62,12096
62,13006
62,13109
62,14226
103,557
103,842
103,875
103,980
103,1015
103,1107
103,1166
103,1168
103,1249
103,1393
103,1422
103,1455
103,1469
103,1492
103,1845
103,1887
103,2197
103,2561
103,2696
103,3237
103,3672
103,4198
103,4297
103,4806
103,4890
103,5046
103,5228
103,5321
103,5538
103,5693
103,5930
103,7139
103,9855
103,11670
103,12220
103,12229
103,13914
103,14704
103,14810
103,14862
103,15152
103,15423
103,15507
103,15627
103,15850
103,16020
103,17322
104,7088
104,9954
106,35
106,40
106,58
106,857
106,875
106,1036
106,1257
106,1340
106,1345
106,1455
106,1522
