uid,iid
0,6
0,3
0,8
0,0
1,24
1,30
1,16
1,21
1,0
3,40
3,12
3,54
3,36
3,41
3,0
4,8
4,12
4,71
4,60
4,61
4,0
5,79
5,11
5,96
5,71
5,92
5,75
5,80
5,72
6,0
7,90
7,104
7,70
7,71
7,112
7,101
7,105
7,0
8,120
8,43
8,129
8,116
8,7
8,0
9,135
9,0
10,70
10,0
11,219
11,207
11,141
11,197
11,212
11,177
11,234
11,157
11,166
11,228
11,199
11,13
11,10
11,8
11,57
11,189
11,147
11,202
11,162
11,173
11,186
11,132
11,22
11,66
11,143
11,99
11,56
11,198
11,146
11,97
13,14
13,126
13,295
13,257
13,234
13,80
13,249
13,322
13,280
13,324
13,276
13,268
13,119
13,264
13,117
13,286
13,82
13,253
13,108
13,250
13,270
13,282
13,2
13,310
13,325
13,128
13,239
13,11
15,0
16,332
16,0
17,65
17,0
18,338
18,323
18,333
18,336
18,0
19,238
19,349
19,350
19,348
19,102
19,344
19,0
20,6
20,324
20,71
20,342
20,97
20,35
20,19
20,363
22,370
22,130
22,69
22,71
22,383
22,366
22,157
22,390
23,423
23,252
23,13
23,401
23,404
23,452
23,205
23,232
23,421
23,415
23,395
23,412
23,148
23,358
23,162
23,405
23,262
23,83
23,416
23,45
23,392
23,319
23,13
23,127
23,393
23,362
25,332
25,0
26,399
26,643
26,500
26,621
26,460
26,22
26,645
26,554
26,609
26,202
26,17
26,606
26,615
26,60
26,477
26,222
26,455
26,584
26,501
26,543
26,534
26,249
26,250
26,459
26,495
26,364
26,656
26,470
26,665
26,90
26,628
26,268
26,600
26,566
26,316
26,567
26,215
26,333
26,515
26,18
26,471
26,453
26,510
26,608
26,504
26,179
26,198
26,597
26,617
26,479
26,27
26,565
26,573
26,661
26,668
26,537
26,79
26,422
26,69
26,358
26,491
26,574
26,508
26,551
26,108
26,516
26,599
26,541
27,174
27,177
27,24
27,234
27,280
27,672
27,32
27,65
27,231
27,671
27,3
27,676
30,0
31,0
33,565
33,683
33,116
33,66
33,0
34,468
34,40
34,669
34,28
34,338
34,395
34,717
34,689
34,394
34,193
34,706
34,713
34,702
34,388
34,17
34,730
34,688
36,735
36,734
36,543
36,0
37,671
37,738
37,369
37,9
37,230
37,747
37,16
37,322
37,65
37,227
37,14
37,737
37,27
38,834
38,740
38,766
38,869
38,336
38,559
38,232
38,711
38,756
38,124
38,826
38,787
38,237
38,765
38,118
38,731
38,814
38,850
38,882
38,805
38,448
38,797
38,103
38,90
38,76
38,795
38,816
38,877
38,870
38,835
38,868
38,811
38,885
38,842
39,1320
39,1215
39,1299
39,1267
39,1290
39,1333
39,1503
39,905
39,1004
39,1534
39,1551
39,1514
39,1490
39,1519
39,1316
39,1491
39,1069
39,1247
39,1225
39,1389
39,1278
39,1052
39,923
39,903
39,1504
39,1017
39,1374
39,982
39,1543
39,900
39,1370
39,1354
39,1257
39,1472
39,1417
39,1351
39,1113
39,986
39,1054
39,1217
39,1207
39,1134
39,1602
39,1600
39,913
39,1610
39,1483
39,1244
39,1346
39,1269
39,1274
39,1298
39,1529
39,25
39,972
39,919
39,1051
39,1111
39,1342
39,1246
39,1268
39,1284
39,1607
39,1617
39,1209
39,1036
39,1250
39,1321
39,1533
39,1288
39,1019
39,1285
39,788
39,1237
39,1222
39,809
39,1345
39,1214
40,7
40,1625
40,1638
40,0
41,417
41,4
41,315
41,112
41,96
41,1659
41,78
41,185
41,298
43,1672
43,1673
43,606
43,333
43,480
43,0
44,82
44,607
44,441
44,103
44,106
44,0
47,1679
