uid,iid
15639,12361
9745,6296
9745,13385
7870,6212
1002,83
1002,85
1002,2305
1002,4186
1002,5061
1002,5082
1002,5099
1002,5117
1002,5399
1002,7740
1002,7744
1002,7754
1002,7794
1002,7809
1002,7815
1002,12275
1002,12329
1002,14501
8486,6068
7786,5102
7786,5120
7786,5129
7786,7864
7786,12326
11910,7680
16400,13199
178,14
178,14326
11483,7484
10542,6728
725,54
4801,2792
4801,4653
4801,9241
4801,10380
4801,11653
4801,12654
4801,13209
4979,3163
4979,3173
4979,7919
4979,11973
3698,10523
16571,13390
14074,11081
16125,12975
4912,3152
4912,7545
2496,943
2496,3444
12651,8589
4299,2321
6819,4202
1323,103
1323,4399
1323,6635
15609,12342
9530,6267
15493,12313
11180,7332
1494,2505
1494,13584
15402,12276
15402,14351
4462,2354
4462,5117
4462,5297
4462,10978
4462,14543
4472,2357
1554,224
1554,6200
1554,12462
11238,7332
6533,4172
4856,5264
4856,6308
4856,6789
4856,6790
4856,6791
4856,6794
4856,6852
4856,8393
4856,12089
4856,13139
4856,13622
4856,13656
10498,6701
14480,11691
603,53
603,2256
603,11649
603,14326
8616,6106
8616,12105
8616,13042
8616,14435
2609,1177
2609,7392
2609,7560
8771,6119
10688,6806
14694,11973
14884,12055
10270,6613
10270,13120
14614,11923
1756,320
2774,1251
11005,7083
1010,83
1010,1185
1010,6728
1010,12033
11373,7406
11373,12102
11373,12403
11373,14326
11373,14428
490,48
7833,6323
7833,6328
11006,7084
14477,11691
15647,12362
16861,14071
16337,13164
2582,1175
2582,2217
2582,5046
2582,6016
2582,6032
2582,6068
2582,7578
2582,14416
131,11
131,60
131,2225
131,2252
131,6158
131,7408
131,7644
131,11927
12653,8591
1534,215
1534,314
1534,349
1534,2219
1534,3744
1534,3849
1534,4109
1534,4152
1534,4167
1534,4180
1534,4207
1534,4292
1534,4554
1534,4584
1534,4586
1534,4645
1534,6940
1534,6946
1534,7784
1534,8905
1534,9079
1534,9261
1534,10174
1534,11900
1534,11912
1534,11945
1534,12362
1534,12682
1534,13056
1534,13266
1534,13291
1534,13342
1534,13355
1534,13507
1534,13551
1534,15096
5814,11000
16430,13224
3876,2251
3876,6016
9487,6265
1610,8965
9849,6317
3648,2217
3648,2234
11581,7553
11581,10171
5971,4118
5971,6119
5971,14505
5971,14508
2766,1243
2766,2285
2766,6565
2766,6573
2766,6599
2766,8530
2766,11046
2766,11083
2766,13025
2766,13241
11137,7332
9669,6289
11416,7427
