uid,iid
5892,3478
5892,60
5892,22
5892,2270
5892,359
5892,52
5892,593
5892,2294
14484,11033
12930,1306
4771,780
2118,11934
2118,4041
2118,7280
2118,1237
2118,4913
2118,865
2118,1594
2118,11935
2118,11936
9060,63
14100,4767
10812,549
16347,728
8369,6
16731,4609
4201,490
4201,785
4201,548
4201,3544
11317,66
11317,207
11317,614
11317,4294
11317,643
13387,1819
15245,3299
15245,728
15245,230
15245,231
15245,3554
13022,4242
3972,155
3972,344
3972,199
3972,1790
1836,899
1836,1337
4111,4718
4111,162
4111,355
4111,4459
4111,676
4111,677
4111,5961
4111,5048
4111,110
4111,115
4111,589
11599,748
7274,10174
6642,785
6613,3481
6613,2337
7950,5643
7950,15345
7950,8740
7950,1593
14788,2175
15874,4449
2405,12331
3100,13320
3100,13321
3100,13322
8763,8
8763,91
4631,6018
4631,11124
4631,1815
4631,806
4631,1192
4631,12
4631,1594
6265,453
6265,796
6265,6784
6265,2096
6265,4635
12459,1250
13582,830
7323,15143
7323,830
7323,4609
7323,11971
1611,3958
977,685
977,2684
977,6869
977,3765
977,2370
977,3697
977,504
977,6870
977,6871
977,64
977,2081
977,3489
977,2330
977,5603
977,702
977,3710
977,2096
977,708
977,420
977,5886
977,3783
977,2138
977,6872
977,6854
977,6873
977,6874
977,5113
977,2704
977,5847
977,4517
977,2549
977,614
977,2286
977,5805
977,2420
977,4931
977,5883
977,6875
977,6118
977,6876
10966,15573
10966,1540
1173,2312
7778,4090
15754,7908
15754,4296
16629,15131
13121,1348
10732,1194
10342,261
9364,699
9364,26
9364,3538
749,34
749,2039
749,3374
749,4539
749,337
749,6026
12715,3517
8030,1104
16837,7109
1942,769
17277,1690
17277,16088
6012,161
6012,8
12595,15715
12595,13646
20,0
20,15
20,34
20,35
20,116
20,118
20,352
20,6
20,19
20,191
20,9
20,353
20,63
20,354
20,24
20,199
20,200
20,355
20,126
20,356
20,357
20,358
20,97
20,359
20,218
20,360
20,361
20,71
20,32
20,324
20,362
20,342
20,363
20,364
16676,1535
2738,12794
2738,3931
1009,685
1009,1661
1009,25
1009,130
1268,686
12067,3506
6217,453
6217,174
6217,194
6217,388
8144,174
8144,199
10369,377
6278,453
13562,15804
13562,11033
9695,3374
15923,2555
12296,283
8747,8
8747,561
8747,1677
614,103
614,55
11161,709
14701,584
14701,72
12808,13334
12808,3659
7296,1742
10591,809
13664,1895
13664,4766
13664,6575
17032,13
12760,3519
14511,1490
12862,1284
12862,4745
12862,4313
12862,7102
12862,2579
12862,7769
12862,4819
12862,3432
10404,2611
10404,5611
10404,4296
9947,91
9947,2294
17355,8865
15196,594
1208,2312
1208,2513
871,6605
871,6
8265,188
319,142
319,461
319,17
319,463
319,1774
319,2426
319,466
319,2684
319,454
319,5053
319,3568
319,6
319,257
319,527
319,5054
319,5055
319,43
319,5056
319,3361
319,5057
319,2541
319,5058
319,5059
319,5060
17321,731
11588,424
8314,3571
8314,6730
8314,582
1339,8585
1339,8586
1339,8587
1339,2468
1339,5148
1339,7134
1339,8588
1339,8589
1339,8590
1339,8591
1339,8592
1339,8593
1339,8594
1339,2693
1339,8595
1339,8596
1339,4201
1339,8428
1339,8597
1339,8598
1339,8599
1339,8600
1339,8601
1339,8602
1339,8603
1339,8604
1339,8455
1339,1307
1339,8605
1339,8606
1339,8607
1339,8608
1339,8609
1339,8610
1339,8611
1339,8612
1339,8613
1339,8614
1339,8615
1339,7537
1339,8616
1339,8617
1339,8618
1339,6195
1339,8619
1339,8620
1339,8621
1339,8622
1339,8623
1339,8624
1339,8625
1339,8626
1339,3095
1339,3149
1339,8627
11600,748
8187,84
8187,443
8187,71
8187,32
6847,1853
8948,9
16268,349
2340,12170
2340,131
2340,980
2340,9457
2340,344
2340,4008
2340,495
2340,12171
2340,12172
2340,12173
2340,12174
2340,12175
2340,12176
2340,12177
2340,5959
2340,12178
2340,7851
2340,12179
2340,12180
2340,12181
2340,10987
2340,3296
2340,12182
2340,12183
2340,820
2340,3715
2340,12184
2340,12185
2340,12186
2340,3724
2340,12187
2340,12188
2340,12189
2340,6558
2340,4220
2340,5615
2340,1259
2340,12190
2340,4515
2340,12191
2340,12192
2340,12193
2340,12194
2340,2206
4724,1017
7452,508
2428,12365
12098,15634
12098,15244
3660,18
3660,741
3660,6794
3660,302
10573,708
4162,4720
4162,674
4162,262
4162,4228
4162,3309
6268,453
11087,1229
11087,1445
9305,527
9305,2077
8161,4
1386,3950
10380,1816
4277,3697
4277,3375
4277,3723
4277,12701
4277,4519
4277,11778
4277,13967
4277,292
4277,2260
4277,4294
4277,2420
4277,5980
4277,226
16803,5397
2401,12310
2401,12311
2401,12312
2401,12313
1717,761
1717,2686
1717,1030
1717,7335
1717,284
1717,1602
1622,5137
1622,10171
1622,10172
1622,244
1622,10173
1622,10174
1622,10175
1622,10176
1622,4605
1622,7604
13345,3385
13345,2549
12187,7853
10909,1205
10909,2186
8681,8
1399,1798
1399,6072
1399,4644
1399,4242
1399,4605
7730,791
12183,5290
6167,334
6167,453
6167,567
6167,2280
6167,2294
4906,241
4906,454
17071,56
2720,5168
2720,12772
2720,1194
1518,6409
15502,5891
9779,3375
14772,295
14772,70
9419,534
11609,382
11609,359
10294,1185
8981,260
8981,353
8981,2082
8981,702
8981,4519
8981,731
10553,4736
401,76
401,470
401,35
401,118
401,60
401,1664
401,5485
401,527
401,65
401,564
401,4188
401,581
401,5486
401,2176
401,70
401,609
401,2201
3694,399
3694,68
3694,295
3694,52
10599,1188
11399,355
16182,4606
16182,1579
17283,3737
894,2301
894,116
894,6710
894,6711
894,63
894,326
894,5453
14838,589
14838,14988
594,103
594,8
594,1499
594,2197
594,72
14840,589
9455,539
4715,9901
4715,1296
4715,5319
4715,12431
4715,4450
4715,6449
4715,2206
16402,71
12753,3519
9184,2297
12882,1287
13579,830
13579,1930
6296,4058
10168,24
11462,26
11462,3297
1548,9690
1548,1806
1548,9691
1548,4560
1548,4074
1548,9038
1548,3928
1548,815
1548,816
1548,1343
1548,1504
1548,2565
16736,1547
238,758
238,154
238,344
238,405
238,188
238,1676
238,189
238,406
238,190
238,372
238,8
238,2296
238,262
238,46
238,320
238,231
8583,256
10538,4128
9646,6784
9646,5071
12219,1689
12219,15641
12219,15642
12219,13932
9585,2504
9585,3349
2025,7146
2025,1204
3574,11213
3574,785
3574,570
3574,850
3574,3546
3574,4449
3574,2186
3574,2201
3574,8357
232,74
232,76
232,4499
232,3373
232,2077
232,4500
232,3638
232,1642
232,4501
232,224
232,728
232,621
7263,10174
11846,1247
11846,3795
9358,2079
5681,14744
9277,3630
9277,703
9277,2702
9277,2702
12108,4430
12108,3793
9868,2083
5118,454
5118,13247
5118,1920
5118,1944
5118,3547
16771,5390
7868,15309
1566,9704
1566,9711
5768,4560
17573,4386
827,104
12467,1250
12467,1301
12467,10861
14581,111
14581,56
10817,6145
15603,1976
4925,1708
4925,719
4925,591
4925,445
17375,16100
15936,10086
9748,4733
9748,12226
9748,6483
11760,2680
11151,709
13239,1450
3282,8308
6056,246
6056,5
6056,190
6056,250
6056,6
6056,254
6056,2299
6056,62
6056,199
6056,199
6056,14939
6056,41
6056,28
6056,678
6056,96
6056,110
6056,12975
6056,296
6056,2319
6056,3532
6056,71
15297,3535
15297,2420
5086,454
5086,335
5086,699
5086,2611
5086,2096
5086,653
12790,4226
6834,1853
6834,682
11033,4158
859,463
859,2065
859,82
859,6539
859,787
859,5246
859,6540
859,6541
859,6542
859,3688
859,681
859,1190
859,1237
859,6543
859,199
859,4897
859,4903
859,6544
859,4280
859,2170
859,1754
859,6545
859,6546
859,6547
859,2399
859,316
859,31
859,2322
859,3734
859,6190
859,1607
859,6548
859,6549
9062,63
9062,24
1383,4465
1383,9214
1383,9215
1383,377
1383,1873
1383,9216
1383,9217
1383,1195
1383,4686
1383,4698
1383,9218
1383,3421
1383,1659
1383,9219
1383,9220
6780,3806
14513,1491
14281,15484
2169,470
16577,1824
9907,1183
7475,2501
7475,4329
15810,4932
12744,6026
9671,1694
9671,5110
9671,2134
9671,5805
9671,3543
9671,3545
9671,2420
9671,6118
9671,442
9671,3737
14081,1922
8808,8
4439,2044
4439,14008
12736,6433
15419,3540
15419,11589
430,143
13893,15899
10489,2096
15083,70
1512,6409
4992,78
4992,283
1704,761
1704,10501
1704,5446
1704,4719
1704,485
1704,157
1704,1009
1704,1851
1704,780
1704,246
1704,785
1704,788
1704,2500
1704,2501
1704,8
1704,3435
1704,9
1704,24
1704,810
1704,1196
1704,814
1704,816
1704,199
1704,264
1704,1700
1704,28
1704,2534
1704,10502
1704,1357
1704,591
1704,1970
1704,6480
1704,320
1704,617
1704,4326
1704,1540
1704,6894
1704,8916
1704,5931
11252,1244
4926,1708
4926,3278
4926,729
4825,1034
11492,4415
13461,3388
5743,4560
10894,14207
10894,4143
10894,2440
10894,1529
10894,1536
755,34
755,400
755,6030
755,6031
755,28
755,852
4534,9102
4534,9205
4534,10318
9863,3710
14080,5500
6965,697
396,333
396,685
396,543
396,5460
396,5461
396,680
396,872
396,4796
17146,643
1933,769
4593,2485
6835,1853
13884,15685
7251,15120
7251,15121
7251,14921
7251,15122
7251,15123
7251,15124
7251,15125
7251,15126
7251,15127
7251,15128
7251,15129
7251,15130
8602,89
8602,15441
8602,2165
8602,9684
8602,4935
8602,6738
8602,7571
8602,7575
14461,6394
6826,1853
16178,1988
9243,335
9243,584
9243,2706
9243,585
9243,3600
9243,2294
9243,71
9243,56
8267,1676
8267,406
8267,407
8267,4413
8267,15422
11736,6924
16356,728
2132,7167
10162,24
17129,643
4115,4718
13502,5647
10760,1195
9855,5604
8277,190
8277,6
17105,643
3787,5863
13929,2629
12387,8422
12387,3734
3969,155
3969,2694
3969,2269
16464,14783
8491,6
11183,709
11028,2528
15074,70
15074,643
15212,595
15212,852
4909,241
4909,8
7476,15188
7476,13597
7476,15189
7476,15190
7476,4278
7476,13620
1000,685
1000,28
16633,1529
1995,771
870,6605
870,453
870,106
870,24
870,206
870,4515
870,584
17484,1599
26,0
26,392
26,457
26,100
26,73
26,74
26,458
26,333
26,333
26,76
26,459
26,460
26,102
26,16
26,461
26,17
26,462
26,463
26,464
26,465
26,466
26,105
26,467
26,468
26,469
26,470
26,471
26,472
26,473
26,35
26,474
26,475
26,398
26,238
26,18
26,18
26,399
26,476
26,239
26,477
26,478
26,153
26,36
26,344
26,479
26,480
26,481
26,482
26,483
26,484
26,485
26,486
26,487
26,488
26,489
26,490
26,491
26,492
26,493
26,494
26,495
26,157
26,496
26,79
26,497
26,80
26,162
26,498
26,499
26,499
26,453
26,164
26,500
26,501
26,455
26,502
26,503
26,504
26,505
26,506
26,507
26,508
26,509
26,510
26,511
26,512
26,3
26,174
26,4
26,177
26,179
26,60
26,248
26,249
26,250
26,253
26,86
26,513
26,514
26,191
26,515
26,515
26,516
26,517
26,8
26,61
26,518
26,519
26,20
26,9
26,90
26,22
26,520
26,521
26,522
26,523
26,335
26,524
26,525
26,526
26,527
26,528
26,529
26,530
26,531
26,64
26,532
26,533
26,534
26,10
26,535
26,536
26,537
26,538
26,539
26,540
26,23
26,541
26,542
26,24
26,543
26,544
26,261
26,262
26,108
26,545
26,546
26,547
26,548
26,549
26,198
26,550
26,551
26,378
26,552
26,553
26,554
26,268
26,555
26,27
26,556
26,557
26,336
26,422
26,558
26,559
26,560
26,202
26,206
26,43
26,561
26,562
26,563
26,564
26,565
26,566
26,567
26,568
26,569
26,570
26,571
26,572
26,573
26,574
26,575
26,576
26,577
26,578
26,579
26,208
26,580
26,358
26,432
26,213
26,68
26,99
26,581
26,215
26,582
26,115
26,294
26,583
26,584
26,140
26,585
26,295
26,50
26,586
26,587
26,588
26,347
26,69
26,589
26,590
26,309
26,222
26,222
26,224
26,348
26,591
26,592
26,593
26,594
26,595
26,316
26,596
26,597
26,598
26,599
26,600
26,601
26,602
26,603
26,604
26,605
26,606
26,607
26,608
26,609
26,610
26,611
26,612
26,613
26,614
26,29
26,320
26,615
26,616
26,617
26,71
26,618
26,619
26,620
26,332
26,621
26,622
26,623
26,624
26,625
26,31
26,626
26,72
26,32
26,324
26,325
26,627
26,447
26,628
26,629
26,630
26,631
26,632
26,633
26,634
26,635
26,636
26,637
26,638
26,54
26,55
26,350
26,342
26,639
26,640
26,363
26,56
26,641
26,641
26,642
26,234
26,351
26,643
26,364
26,364
26,644
26,645
26,646
26,646
26,647
26,648
26,649
26,650
26,651
26,652
26,653
26,654
26,655
26,656
26,657
26,658
26,659
26,659
26,660
26,661
26,662
26,663
26,664
26,665
26,666
26,667
26,668
26,669
9008,62
17512,7886
1856,901
13497,13840
13497,3673
9718,3374
9718,6950
9718,1699
9718,850
2042,3978
2042,7151
2042,2615
2042,4053
2042,11640
2042,9686
2042,4079
2042,5253
2042,9838
2042,1862
2042,6366
2042,5916
2042,11641
2042,1754
2042,221
2042,70
2042,2563
2042,1557
2042,7615
4247,2042
4247,3519
4247,2705
4247,350
4247,3734
12728,284
7064,15046
4857,8677
14980,2259
16085,9472
14012,10460
8264,186
2096,10275
3271,13492
3271,124
5036,3437
14922,359
14594,111
10045,2087
3495,13699
3495,1927
3495,6813
3495,2193
3495,6822
3495,5477
3495,2201
3495,2564
3495,71
3495,13700
3495,2569
6895,1698
3213,13398
3213,357
15113,70
9681,3374
9257,335
16634,7102
12123,4430
11799,819
7644,106
8401,6
8401,2080
8401,2696
890,2301
890,466
890,454
890,453
890,2078
890,2694
890,543
890,2611
890,3522
890,653
890,2322
16748,4330
1319,3460
12923,1301
12923,1318
12923,4251
12923,4893
12923,8295
7091,10201
7091,830
7217,6781
10582,708
1101,3291
8047,3373
8047,3378
8047,15393
1157,5894
11425,109
11425,43
11425,96
11425,584
6598,3481
5232,6830
5232,6433
13016,4242
13016,10610
3910,118
3910,2294
3910,349
11434,109
16750,4331
16750,1555
1266,686
503,102
11741,6924
2200,1697
13591,830
5954,3770
5954,2349
5954,316
5954,2563
17444,1598
8916,20
14832,1965
16217,10193
8791,8
4027,1848
4027,739
4027,12192
4027,5382
4027,4330
4027,4359
5729,14775
10189,4123
10189,1194
13276,5453
1219,2312
1219,3966
1219,7887
1219,7888
5019,78
5019,1250
5019,1534
8364,6
8364,552
8364,748
8364,643
6875,1853
1560,9704
1560,928
1560,9705
1560,9706
1560,6414
1560,3770
1560,4562
1560,6956
1560,7895
1560,6431
1560,3376
1560,1206
1560,727
1560,728
11819,2309
11819,216
13531,6935
13531,12363
11223,709
11223,3734
12676,46
12676,2276
12676,364
16219,10193
14096,1479
849,463
849,162
849,204
793,145
793,893
793,4555
793,692
793,455
793,3481
793,1698
793,3261
793,3348
793,6116
793,6117
793,2152
793,338
793,1968
793,6118
793,29
793,6119
13947,5588
13947,6195
16035,2194
9675,15465
9675,5497
16957,5965
16957,362
16957,6719
16957,3336
16957,3129
10796,811
3142,13360
5301,7018
15073,70
16951,32
3643,18
3643,53
3643,13
15366,1650
12048,578
10998,2107
10998,3519
2226,11989
8304,1692
8304,843
5553,14658
5553,14659
5553,14660
8129,174
8129,63
16712,11108
5318,14376
5318,14377
5318,14378
5318,14379
2827,3992
2827,2394
2827,4409
2827,3993
2827,3994
9007,62
7930,5124
10884,816
9776,1681
9776,6911
6438,502
11074,1225
8414,6
9084,63
6644,785
2007,3976
2007,283
2007,7448
2007,7500
11886,13962
11886,6433
5131,4542
5131,14307
5131,1698
8924,682
8924,295
8924,2399
8924,753
8924,15449
8924,319
8924,4310
8924,349
2688,475
1658,5140
7957,6782
7957,15352
14424,9799
8985,22
8985,63
8985,2529
5173,4626
5173,12433
5173,14320
5173,12343
16613,2575
13651,832
7230,8982
7230,1597
5788,4525
5091,454
2244,12074
2244,12075
2244,12076
2244,12077
2244,2828
